User_Name	Latitude	Longitude
#Grind	-64.172965	-31.366717
#HER	-58.531028	-33.020183
#HayleyForUGirlAug7	22.877369	32.455136499999995
#HijaQuerida	101.50974	2.979802
#Hury	132.402128	34.430024
#Irresponsable	-4.797963	37.883563
#ItsMyGday	-65.308782	-27.041232
#IzzyPromo	-77.317402	38.648536
#J.U.A.R.A [VII A]	-84.464916	33.628482
#JBB3	-44.920423	-20.163312
#Jescob	-118.30536	33.747041
#June3rd.	132.461661	34.442118
#JєffяєyElMσzαяiƨtα™	-78.847185	42.751439
#KMenfess to	-77.372372	35.610899
#Keep the party goin	-76.305694	3.911347
#LEVELS	-118.435245	34.179951
#LOSODIOATODOSPUTOS♔	110.365444	-7.800622
#LaDecima	-86.408855	36.977859
#LaDécima & Beyondツ	121.456161	14.15716
#LaDécima سطيفو	55.762071	24.25986
#LaLobita	-117.110046	32.750491
#LaVueltaEsAhora 15N	-43.308033	-22.805249
#Los Panas Brothel	-76.846432	40.31117
#LosMenores	-76.973265	39.060019
#Luula	112.736277	-7.473846
#MFG Breez	-74.022564	40.786575
#NEVERGONEVIDEO	-43.397817	-22.781982
#NHL GO HABS GO	-53.225106	-28.795059
#NHL ISabElleKLÉA***	102.405092	2.138824
#NHL15Bergeron	-99.21221	19.444999
#NIGGA	-72.734851	41.701077
#NSLP Bonnie'Blanco	-83.367042	33.938398
#NoJodas LG	-88.134783	41.61695
#Notalking	-122.253386	38.154346
#NowFollowing	-73.985562	40.761535
#POPO	107.44797	-6.52687
#PP4 Victor Medina	106.81043	-6.13026
#PRPWMenfess to	-120.45286	34.641687
#Pandita 2 ♛	-81.07411250000001	33.7845645
#Papi	110.553287	-7.935077
#Piicu	-57.596022	-25.326975
#PillsNPotions	120.891812	14.960142
#QueIronía	-81.471799	28.69598
#RIPCHAZZJ	140.380922	37.355756
#RUBONIA50	-66.277932	18.234911
#RadioEtp	-43.38069	-22.938607
#RaryRargaret	-85.066186	32.479908
#Ready #Hunters	101.417593	0.528809
#Resistencia_Lara	103.940589	1.036377
#RestlessRoadYouAndI	-57.601856	-25.280819
#River#35#El Campeon	-66.027399	18.333047
#RiverCAMPEON35	-86.114384	41.819555
#Robb	174.765077	-36.849077
#SG8	-74.006769	41.144484
#SHEEZUS	-97.167285	32.722312
#SIDNoSpaceDay	-43.302721	-22.756911
#SSO FREE_JAYMOLLY	-77.36414	37.338809
#SameNigga	-117.770352	34.04888
#SanTorrico	108.979039	1.170587
#ScottyGee	-119.800632	36.295224
#Selfie	-60.498837	-31.768665
#SelfieKing-Cee	-92.407262	30.487409
#ShawnsFirstSingle ♡	104.051702	1.031193
#Sir Klutch Boy..✈️	-58.786512	-27.473401
#SocialMediaMcbo	-43.918479	-19.862101
#SuperCampeonRiver	-78.416392	40.522782
#SíaDUI marc|I*I|	101.677397	3.176801
#TEAMMINAJ	-95.078685	29.452141
#TROPAVENEZUELA®	-87.502784	33.164116
#TROPA_APURE	-89.971657	30.043401
#TakutAdaApaApa -12-	-74.153383	4.637623
#TakutAdaApaApa -7-	-93.359452	37.126997
#TeamHeat	-73.771531	40.764824
#TeamNoBaeTdai	-84.142778	39.729644
#TheSpaceAge	-116.45597	33.82023
#Ticket:3	-49.27343	-25.513514
#TityFollowTrain♛❥™✨	-62.01066	-30.720884
#TungUnuDre	-77.024954	38.904243
#UTC17	46.001439	51.609365
#ViudaDeValenzuela	-60.639477	-33.071934
#VoltaLugano-5	-64.187418	-31.375857
#WARMUP2014↪️⬆️	-86.626049	30.422674
#WEIGHTLOSSPAPI	-123.078003	44.044432
#WETHENORTH	108.323628	-6.328678
#WaitingBAPComeback	121.023305	14.576785
#WeBelieveInYouKris	46.608929	24.634745
#YAYOFOREVER	7.024719	4.830096
#Yamborghini	-46.775534	-23.546392
#Zoo'  ∞	-76.11927	39.608356
#bossymafia	-80.439996	25.685648
#enot blessing ♬	-73.987686	41.006738
#follow パズドラ	-79.915551	-2.038439
#follow　喫茶　弁財天	-86.226824	39.806475
#freejamesjones	-74.06383	4.758832
#helloJessa	-98.50159	29.486067
#jacobcometomiami	-73.531001	40.759849
#maravillosomundodef	-66.807136	10.4719
#missnineteen	-81.851226	41.461909
#no	-82.618758	41.22428
#rEdBoNeMaNgO#	-43.918942	-19.917508
#teamfollowback	-89.546456	37.313606
#thuggets	-83.332063	42.388394
#بطل_لا_تكلمني	-87.057757	37.236606
#كونوا_لنا_زينا	-73.863394	40.751614
#⃣JORDANひ	-76.863061	39.065071
$	-34.71621433333333	29.926388
$ COCAINE PRINCESS $	-86.642348	34.742125
$ GiaN $	-79.817152	-3.324748
$$	-90.048702	29.875909
$$ SELFMADE SEF $$	-122.15421	38.064563
$$ hannah $$	-81.514562	28.373512
$$ ⓛⓘⓛ ⓣⓔⓔ $$	-55.904692	-27.360291
$$$	-17.536514	32.699285
$$$ MISS FIERST $$$$	-0.262039	52.521543
$$$$$$$$$	-117.79188	33.839988
$AVAGE	-92.350656	34.699621
$Gaige A. Kowalski$	-57.510734	-25.328738
$HEEK	-58.773144	-34.528622
$LÏÎM'	-75.100601	40.008663
$LÜT♚''	-50.990832	-25.216382
$T-Stacks$	-95.879022	41.271028
$WANK☊GuWop	-76.822082	40.320321
$avage$yddd✰	139.749174	35.816816
$hannon	-63.902476	-8.764848
$hon	-117.720593	33.621361
$ierra.	110.31862	-7.91107
$imply✡B O S ™	-35.324406	-7.512445
$lVl BunK $	-96.614749	32.894405
$lim 2real,	101.754481	3.128608
$now Flake ✨	-43.356641	-22.886436
$outhside.✊	-57.581448	-38.03321
$tackinHigh	-74.716929	40.280232
$uavé	-51.158696	-29.743983
$waggy P	-47.048925	-22.940218
$wankꄐ$inatra	134.063349	34.29231
$المتفائله بالخير$	-117.210849	33.787708
& فاقد & حنان &	-87.076638	45.717566
' se oriente rapaz	-95.251968	32.375469
' سالم بن مسفر ~	-74.790083	10.970347
''  ŦILHΔ DӨ CHEŦΣ ზ	101.851251	3.80448
'- Aimé Gualda.☆	-76.353034	37.027646
'Foke To' [FSB]	-90.092296	38.872813
'Maybeth Romero'✝✌	106.871367	-6.167359
'Monique	-93.362225	33.281718
'thewthew°~	-81.232145	28.681187
( JUD )	-57.55568	-38.061852
( ´ ▽ ` )ﾉ	-117.2484	33.064424
( ͡° ͜ʖ ͡°)	103.558102	-3.778465
( ᐛ)パァって言うな！！！ｺﾞﾗｧ	120.79046	15.156217
( ◠‿◠ )	-80.324377	37.900408
( 조전혁 경기교육감!)	115.20743	-8.68219
( ｰ̀ωｰ́ )＜ ｷﾅｺﾓﾁ!!!	-117.18566	32.804827
((Tweest 154,992))	-99.814254	16.850492
(* ¤) سوير	-73.783341	40.649876
(6時-0時はBot試験中)斑鳩　レナ	115.16963	-8.692162
(A.K.A.) Sp	-44.130261	-22.530953
(GL) 얀데레 봇	-48.292347	-10.349691
(HNIC)King David™	-84.154543	33.944377
(Jy.)	-76.546674	42.989519
(^^)	-117.907983	33.846013
(^o^)┌┛’,;’;≡三きょめめ	-84.241904	33.621332
(ely)ana ✌	-82.576711	28.070813
(helo)isa	-91.916862	34.984198
(m)egg (s)weeny	-80.32962	25.877986
(ruDy)	-75.242198	40.687602
(×_×)	-72.105818	41.352307
(كول ¤	-74.885277	40.044999
(كول¤على¤طول)	-51.045682	-29.913505
(من صقور البيداء)	123.467065	7.852908
(థ ౪ థ) Joemy	-75.240577	39.912161
(⋈) みさ	49.650822	58.608345
(つら)いーくん	140.869354	38.268215
(零凪)/(樫山将博)	-72.734635	41.701078
(｡･ω･｡)ﾉりぃ.+ﾟ	-84.431671	33.744525
(･_･;###@ばーどしー	-38.428865	-12.933942
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧	104.00254	1.13577
*	-102.2390525	38.1545675
* AGOS LA MEJOR *	-71.152758	42.723395
* Fernando Silva *	-43.351175	-23.003356
* Magnifique Dame *	-76.595854	39.165686
* The Best *	-46.948956	-22.330643
*!Sa♔Fille!*	-121.495989	38.683897
**Kumar**	-3.136244	51.508761
**Kysi**	-99.068876	19.46581
**flOw_malaguetom**	121.142686	14.551435
*-*  #Quimicista *-*	139.103767	34.877593
*C.A.L.M*	-83.719339	43.096146
*Fatima M.*	121.106133	14.627838
*M0r€h¥t@	-86.99497	34.616336
*Neymar jr11*	-94.161998	45.559514
*SANTA*	-79.391073	43.645815
*TYJNDL*	120.734511	14.944964
*TheJuicyDragon*	-49.06562	-26.866565
*Vico*	-76.724815	40.054299
*a-ya*	-80.303443	25.910275
*dayDreamer*	-71.152984	42.469716
*dm*	115.235601	-8.668192
*~Serra~*	46.65006	24.687294
*¥olany*	-37.435181	-9.748621
*زارعَ الوَرد*	-116.454085	33.797485
*شــآدي أبو عــرام*	120.483754	14.434754
*じゅんこ*(るりいろ)	101.478027	3.272186
*ほし*@レジ打ちの神	-70.651019	19.498112
*ピヨタ*	-80.24407	25.980601
+um	121.042939	14.661356
+◭-	-56.901862	-33.516816
,	-30.997767500000002	8.661024000000001
,  june 3rd ☺ .	-48.548422	-25.559332
, xo. Muah .	139.697082	35.701164
,Laceyy❤️	-86.705475	36.343641
-	-64.19141025	15.612779625000002
-             نيكول	31.028276	30.148875
-     GoodAzFuck x.	-43.989742	-19.841288
- 17 -	-99.084892	19.337494
- Angel & Elizabeth♥	-93.164325	44.669315
- Blankiita Point $♥	-61.790285	-38.133643
- Bomba -	-49.828923	-27.414256
- I'ts Girl ♕	39.227809	-6.72921
- JAVDL †	-66.073273	17.969242
- Juan Acuna .	-118.522146	34.161772
- Juan D.	-94.158326	31.803631
- R U B I N A ♥'	-73.989609	40.741527
- RastaGirl.♡	-97.048528	33.050539
- Solo Es Vida	-3.70804	40.38376
- Stronvelanii	-97.479752	37.721975
- Y U R Y -	-99.134857	19.313725
- jB	-46.596685	-23.66605
- Чємåтяı¢şĭĭ -	-96.317469	30.610275
- نورا -	101.725005	3.225682
-    #CℓαηGutαħ  ♛ *	-77.0863	35.102097
- ♥ .	133.982443	34.616689
-' Grαηdøŧŧє	107.944652	-6.820089
-'BelgranoTeAmo♥	-92.078008	30.167709
--GuManu--	-76.34162	36.845705
-1. Birthdayboy!	-80.347865	25.560584
-15+5+40-5	-118.285455	33.964087
-2°F , Cold	-118.708927	34.279196
-57 ϢβJ.❁	-85.001748	33.06452
-8♛	-97.707172	30.384216
-A	-58.628934	-28.262129
-Coto	-118.586665	34.190457
-GONE-	-117.832759	33.647608
-GORDA FAN SI WWAT-	-79.389	43.66011
-Rochelle-	-70.963284	42.221259
-Shadow-Blowsiita'	-5.198056	50.163611
-_	-75.213017	39.72539
-мαcє∂σ	-85.346882	37.350628
-ถุงแป้งสายหยาบ	135.458476	34.530852
.	-40.95559770588235	22.884343470588238
. * さ ー に ゃ ん ◌. ﾟ	-66.95054	10.374353
. . . . . . . . . .	-66.065691	18.222263
. a l i s a .	-40.246895	-20.136222
. kathleen✌	-74.125761	41.058784
.*kajikaji*.	-74.77485	10.94721
..	-77.37946575	18.50522875
.. BabyT	-90.039231	30.007097
.. stoned♡	107.525854	-6.889917
...	-25.2613552	14.895863600000002
....	-114.576453	35.143656
.... key ❤️	-58.239486	-32.485928
.....	-60.318504	-33.242661
..........	-81.589759	28.334442
...Mifta...	-90.019101	30.014705
...fernandez	-86.743226	41.78777
..♏️..	-95.15657049999999	38.712575
..♡* 5/5	-117.706946	33.878831
.Kristoffer	-83.543199	43.525012
.Rosemarie ♥	-77.106819	38.854263
.l. modo fokah! .-.	-122.883388	47.069505
.ϟJosé ϟ.	-84.31084	30.438197
.آماني	-43.299403	-22.838865
.ن.ع.و.م.	110.43674	-7.00469
.โอเซออนท็อป♡	122.535377	10.68153
.｡oO ( D-9, 도장1 ) ゼゼ	-2.549895	51.457595
// Kayla //	-75.146065	39.756936
// Kenny //	-80.402991	25.774065
// soph //	118.095402	24.475281
// taylor☾//	-56.237198	-34.09522
///	120.723438	14.939118
/Layun/	-66.013867	18.444966
/MIRO	115.3124	-8.41191
